Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK279361,06/02/2026 06:53:00 PM,060XX S LA SALLE ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE - YARD (FRONT / BACK),False,True,003,04B
JK279419,06/02/2026 06:51:00 PM,062XX W GRAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,025,15
JK279349,06/02/2026 06:50:00 PM,019XX W NORTH AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,014,08B
JK279288,06/02/2026 06:47:00 PM,010XX N MONITOR AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,015,14
JK279337,06/02/2026 06:45:00 PM,113XX S WALLACE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,022,08B
JK280598,06/02/2026 06:45:00 PM,049XX W GLADYS AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,True,015,06
JK279378,06/02/2026 06:44:00 PM,058XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,002,08B
JK279284,06/02/2026 06:43:00 PM,052XX S CAMPBELL AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,True,009,26
JK280554,06/02/2026 06:41:00 PM,065XX S TALMAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,008,11
JK279310,06/02/2026 06:38:00 PM,052XX N LARNED AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,016,08A
JK279294,06/02/2026 06:37:00 PM,032XX W DOUGLAS BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,True,010,08A
JK283111,06/02/2026 06:31:00 PM,018XX N SAWYER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,014,06
JK279707,06/02/2026 06:30:00 PM,003XX N DESPLAINES ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,012,14
JK279822,06/02/2026 06:30:00 PM,057XX S PEORIA ST,0810,THEFT,OVER $500,STREET,False,False,007,06
JK279363,06/02/2026 06:30:00 PM,004XX S DAMEN AVE,0810,THEFT,OVER $500,CTA TRAIN,False,False,012,06
JK280277,06/02/2026 06:30:00 PM,0000X E MONROE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL / MOTEL,False,False,001,11
JK279734,06/02/2026 06:30:00 PM,012XX E 50TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,False,002,07
JK279328,06/02/2026 06:28:00 PM,110XX S STATE ST,2027,NARCOTICS,POSSESS - CRACK,VACANT LOT / LAND,True,False,005,18
JK279308,06/02/2026 06:25:00 PM,088XX S LAFLIN ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,022,06
JK279295,06/02/2026 06:22:00 PM,0000X W DELAWARE PL,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,False,False,018,26
JK279250,06/02/2026 06:22:00 PM,0000X E 71ST ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,COMMERCIAL / BUSINESS OFFICE,False,False,003,06
JK279301,06/02/2026 06:22:00 PM,024XX N CANNON DR,1360,CRIMINAL TRESPASS,TO VEHICLE,BOAT / WATERCRAFT,False,False,019,26
JK280001,06/02/2026 06:20:00 PM,020XX N CLARK ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,018,06
JK279273,06/02/2026 06:19:00 PM,009XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,018,06
JK279268,06/02/2026 06:16:00 PM,056XX S GREEN ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,007,08B
JK279305,06/02/2026 06:15:00 PM,117XX S STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,005,03
JK279293,06/02/2026 06:15:00 PM,116XX S MARSHFIELD AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,022,06
JK279278,06/02/2026 06:10:00 PM,042XX W 76TH ST,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,False,008,26
JK295338,06/02/2026 06:06:00 PM,014XX W 35TH ST,0810,THEFT,OVER $500,OTHER (SPECIFY),False,False,009,06
JK282926,06/02/2026 06:04:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,001,06
JK279435,06/02/2026 06:04:00 PM,004XX E RANDOLPH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,001,08A
JK279774,06/02/2026 06:00:00 PM,014XX N MASON AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,025,06
JK279859,06/02/2026 06:00:00 PM,017XX N MEADE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,025,14
JK279543,06/02/2026 06:00:00 PM,042XX S ELLIS AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,002,08A
JK279897,06/02/2026 06:00:00 PM,129XX S ESCANABA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,004,07
JK279240,06/02/2026 06:00:00 PM,061XX N ROCKWELL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,024,14
JK279661,06/02/2026 06:00:00 PM,015XX N MONTICELLO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,025,07
JK280402,06/02/2026 06:00:00 PM,067XX S OGLESBY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,003,07
JK279314,06/02/2026 06:00:00 PM,074XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,003,08B
JK279259,06/02/2026 05:52:00 PM,024XX W HOWARD ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,024,08A
JK279244,06/02/2026 05:44:00 PM,055XX S STATE ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,False,False,002,18
JK279214,06/02/2026 05:43:00 PM,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,018,06
JK279283,06/02/2026 05:33:00 PM,070XX S CREGIER AVE,0560,ASSAULT,SIMPLE,APARTMENT,True,True,003,08A
JK291621,06/02/2026 05:30:00 PM,026XX S LA SALLE ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",SMALL RETAIL STORE,False,False,009,11
JK279353,06/02/2026 05:30:00 PM,015XX S KOSTNER AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,010,08A
JK280014,06/02/2026 05:30:00 PM,0000X N LAMON AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - PORCH / HALLWAY,False,False,015,04B
JK279272,06/02/2026 05:30:00 PM,071XX N WOLCOTT AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,024,06
